candidate_id,family_id,candidate_role,segment,completed_trades,net_profit_usd,gross_profit_usd,gross_loss_usd,trade_profit_factor,win_rate,average_trade_usd,median_trade_usd,average_winner_usd,average_loser_usd,payoff_ratio,maximum_drawdown_usd,maximum_drawdown_percent,net_profit_to_drawdown,drawdown_duration_trades,recovery_duration_trades,maximum_consecutive_losses,worst_20_trade_result,worst_50_trade_result,worst_100_trade_result,trades_per_year,average_holding_minutes,median_holding_minutes,average_trade_to_round_trip_cost
opening_drive_1p00_time,opening_drive_continuation,DEVELOPMENT,ALL_TRADES,0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0,0,0,,,,0.0,,,
opening_drive_1p00_time,opening_drive_continuation,DEVELOPMENT,LONG_TRADES,0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0,0,0,,,,0.0,,,
opening_drive_1p00_time,opening_drive_continuation,DEVELOPMENT,SHORT_TRADES,0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0,0,0,,,,0.0,,,
opening_drive_1p00_1p5r,opening_drive_continuation,DEVELOPMENT,ALL_TRADES,0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0,0,0,,,,0.0,,,
opening_drive_1p00_1p5r,opening_drive_continuation,DEVELOPMENT,LONG_TRADES,0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0,0,0,,,,0.0,,,
opening_drive_1p00_1p5r,opening_drive_continuation,DEVELOPMENT,SHORT_TRADES,0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0,0,0,,,,0.0,,,
orb_control_exp005_15m_both_time,opening_range_breakout_control,CONTROL,ALL_TRADES,139,-23820.0,183910.0,-207730.0,0.8853319212439223,0.45323741007194246,-171.36690647482015,-565.0,2919.2063492063494,-2733.2894736842104,1.068019460548224,-74605.0,-74.605,-0.3192815494940017,68,7,5,-40255.0,-64300.0,-59615.0,248.86621323529414,248.0071942446043,340.0,-11.424460431654676
orb_control_exp005_15m_both_time,opening_range_breakout_control,CONTROL,LONG_TRADES,76,15.0,99340.0,-99325.0,1.0001510193808205,0.5,0.19736842105263158,0.0,2614.2105263157896,-2613.815789473684,1.0001510193808205,-29710.0,-29.709999999999997,0.0005048805116122518,27,2,6,-29660.0,-20885.0,,136.07073529411767,254.67105263157896,345.0,0.013157894736842106
orb_control_exp005_15m_both_time,opening_range_breakout_control,CONTROL,SHORT_TRADES,63,-23835.0,84570.0,-108405.0,0.7801300678013007,0.3968253968253968,-378.3333333333333,-1460.0,3382.8,-2852.7631578947367,1.1857977030579772,-62590.0,-62.59,-0.38081163125099854,36,5,7,-45105.0,-36410.0,,112.79547794117647,239.96825396825398,330.0,-25.22222222222222
orb_control_exp007_30m_long_1r,opening_range_breakout_control,CONTROL,ALL_TRADES,90,25715.0,105110.0,-79395.0,1.3238868946407205,0.6333333333333333,285.72222222222223,640.0,1844.0350877192982,-2405.909090909091,0.7664608337393645,-28920.0,-28.92,0.88917704011065,21,6,5,-23075.0,-1965.0,,161.13639705882355,148.43333333333334,170.0,19.048148148148147
orb_control_exp007_30m_long_1r,opening_range_breakout_control,CONTROL,LONG_TRADES,90,25715.0,105110.0,-79395.0,1.3238868946407205,0.6333333333333333,285.72222222222223,640.0,1844.0350877192982,-2405.909090909091,0.7664608337393645,-28920.0,-28.92,0.88917704011065,21,6,5,-23075.0,-1965.0,,161.13639705882355,148.43333333333334,170.0,19.048148148148147
orb_control_exp007_30m_long_1r,opening_range_breakout_control,CONTROL,SHORT_TRADES,0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0,0,0,,,,0.0,,,
