session_date,market_open_utc,market_close_utc,expected_cash_minutes,expected_five_minute_bars
2024-11-21,2024-11-21T14:30:00+0000,2024-11-21T21:00:00+0000,390,78
2024-11-22,2024-11-22T14:30:00+0000,2024-11-22T21:00:00+0000,390,78
2024-11-25,2024-11-25T14:30:00+0000,2024-11-25T21:00:00+0000,390,78
2024-11-26,2024-11-26T14:30:00+0000,2024-11-26T21:00:00+0000,390,78
2024-11-27,2024-11-27T14:30:00+0000,2024-11-27T21:00:00+0000,390,78
2024-12-02,2024-12-02T14:30:00+0000,2024-12-02T21:00:00+0000,390,78
2024-12-03,2024-12-03T14:30:00+0000,2024-12-03T21:00:00+0000,390,78
2024-12-04,2024-12-04T14:30:00+0000,2024-12-04T21:00:00+0000,390,78
2024-12-05,2024-12-05T14:30:00+0000,2024-12-05T21:00:00+0000,390,78
2024-12-06,2024-12-06T14:30:00+0000,2024-12-06T21:00:00+0000,390,78
2024-12-09,2024-12-09T14:30:00+0000,2024-12-09T21:00:00+0000,390,78
2024-12-10,2024-12-10T14:30:00+0000,2024-12-10T21:00:00+0000,390,78
2024-12-11,2024-12-11T14:30:00+0000,2024-12-11T21:00:00+0000,390,78
2024-12-12,2024-12-12T14:30:00+0000,2024-12-12T21:00:00+0000,390,78
2024-12-13,2024-12-13T14:30:00+0000,2024-12-13T21:00:00+0000,390,78
2024-12-16,2024-12-16T14:30:00+0000,2024-12-16T21:00:00+0000,390,78
2024-12-17,2024-12-17T14:30:00+0000,2024-12-17T21:00:00+0000,390,78
2024-12-18,2024-12-18T14:30:00+0000,2024-12-18T21:00:00+0000,390,78
2024-12-19,2024-12-19T14:30:00+0000,2024-12-19T21:00:00+0000,390,78
2024-12-20,2024-12-20T14:30:00+0000,2024-12-20T21:00:00+0000,390,78
2024-12-23,2024-12-23T14:30:00+0000,2024-12-23T21:00:00+0000,390,78
2024-12-26,2024-12-26T14:30:00+0000,2024-12-26T21:00:00+0000,390,78
2024-12-27,2024-12-27T14:30:00+0000,2024-12-27T21:00:00+0000,390,78
2024-12-30,2024-12-30T14:30:00+0000,2024-12-30T21:00:00+0000,390,78
2024-12-31,2024-12-31T14:30:00+0000,2024-12-31T21:00:00+0000,390,78
2025-01-02,2025-01-02T14:30:00+0000,2025-01-02T21:00:00+0000,390,78
2025-01-03,2025-01-03T14:30:00+0000,2025-01-03T21:00:00+0000,390,78
2025-01-06,2025-01-06T14:30:00+0000,2025-01-06T21:00:00+0000,390,78
2025-01-07,2025-01-07T14:30:00+0000,2025-01-07T21:00:00+0000,390,78
2025-01-08,2025-01-08T14:30:00+0000,2025-01-08T21:00:00+0000,390,78
2025-01-10,2025-01-10T14:30:00+0000,2025-01-10T21:00:00+0000,390,78
2025-01-13,2025-01-13T14:30:00+0000,2025-01-13T21:00:00+0000,390,78
2025-01-14,2025-01-14T14:30:00+0000,2025-01-14T21:00:00+0000,390,78
2025-01-15,2025-01-15T14:30:00+0000,2025-01-15T21:00:00+0000,390,78
2025-01-16,2025-01-16T14:30:00+0000,2025-01-16T21:00:00+0000,390,78
2025-01-17,2025-01-17T14:30:00+0000,2025-01-17T21:00:00+0000,390,78
2025-01-21,2025-01-21T14:30:00+0000,2025-01-21T21:00:00+0000,390,78
2025-01-22,2025-01-22T14:30:00+0000,2025-01-22T21:00:00+0000,390,78
2025-01-23,2025-01-23T14:30:00+0000,2025-01-23T21:00:00+0000,390,78
